client_id,full_name,first_name,last_name,gender,age,age_band,life_stage,life_stage_change_date,aum,aum_tier,tenure_years,risk_tolerance,risk_score_target,risk_score_current,estate_docs_complete,insurance_adequate,last_review_date,next_review_date,review_overdue_flag,tax_year_end_flag,household_id,is_primary_in_household,referral_source,segment_tag,city,advisor_id,days_since_last_contact,latest_portfolio_drift_pct,open_commitment_count,product_gap_count,unactioned_life_event_flag,off_track_goal_count,nba_scenario_flag,nba_expected_rank
C0001,William Kelly,William,Kelly,M,47,45-54,Pre-retirement,,185000.0,Tier 4 — Mass Affluent,8.6,growth,5.7,3.7,False,True,2026-05-27,2027-05-27,False,False,H0070,True,Event / seminar,Pre-retirement — Tier 4,Essex,ADV001,32,11.7,0,0,False,1,,
C0002,Yoko Smith,Yoko,Smith,F,57,55-64,Pre-retirement,2022-01-01,118000.0,Tier 4 — Mass Affluent,6.8,moderate,3.3,2.1,False,False,2026-05-16,2027-05-16,False,False,H0049,True,Digital / website,Pre-retirement — Tier 4,Berkshire,ADV001,2,1.9,2,2,False,0,,
C0003,Rebecca Lee,Rebecca,Lee,F,55,55-64,Pre-retirement,2022-12-03,205000.0,Tier 4 — Mass Affluent,22.4,growth,6.4,5.8,False,True,2025-12-22,2026-12-22,False,False,H0088,True,Employee benefit,Pre-retirement — Tier 4,Berkshire,ADV001,46,10.1,2,2,True,2,,
C0004,Stephen Hill,Stephen,Hill,M,36,30-44,Accumulation,,944000.0,Tier 3 — Affluent,11.0,moderate,3.2,6.1,False,False,2025-12-28,2026-06-26,False,True,H0073,False,Digital / website,Accumulation — Tier 3,Sheffield,ADV001,37,5.6,1,0,False,1,,
C0005,Lisa Campbell,Lisa,Campbell,F,32,30-44,Accumulation,,3245000.0,Tier 2 — HNW,4.9,aggressive,7.7,7.9,False,False,2026-03-31,2026-07-29,False,False,H0020,True,Cold outreach,Accumulation — Tier 2,Buckinghamshire,ADV001,5,0.1,5,0,True,2,,
C0006,Alexandra Thomas,Alexandra,Thomas,F,54,45-54,Pre-retirement,2023-04-01,156000.0,Tier 4 — Mass Affluent,22.5,moderate,5.0,5.8,False,True,2025-11-09,2026-11-09,False,False,H0059,True,Family member,Pre-retirement — Tier 4,Glasgow,ADV001,47,2.8,1,0,True,1,,
C0007,Patrick Robinson,Patrick,Robinson,M,74,65-80,Retirement,,152000.0,Tier 4 — Mass Affluent,3.9,conservative,2.8,4.3,False,True,2025-07-08,2026-07-08,False,True,H0047,False,Cold outreach,Retirement — Tier 4,Nottingham,ADV001,12,16.6,4,1,True,0,,
C0008,George Edwards,George,Edwards,M,67,65-80,Retirement,2025-01-06,2944000.0,Tier 2 — HNW,1.6,moderate,4.4,2.3,True,True,2026-05-19,2026-09-16,False,False,H0070,False,Family member,Retirement — Tier 2,Sheffield,ADV001,1,0.2,1,0,True,0,,
C0009,Lisa Khan,Lisa,Khan,F,53,45-54,Pre-retirement,2023-06-21,436000.0,Tier 3 — Affluent,0.5,growth,5.0,7.0,False,True,2026-05-26,2026-11-22,False,False,H0010,True,Digital / website,Pre-retirement — Tier 3,Buckinghamshire,ADV001,24,5.1,3,1,False,0,,
C0010,Avery White,Avery,White,F,64,55-64,Pre-retirement,2014-08-22,432000.0,Tier 3 — Affluent,4.0,conservative,1.7,2.8,True,False,2026-05-04,2026-10-31,False,True,H0094,True,Cold outreach,Pre-retirement — Tier 3,Leeds,ADV001,37,8.2,1,1,False,1,,
C0011,Arthur Lee,Arthur,Lee,M,57,55-64,Pre-retirement,2023-08-27,459000.0,Tier 3 — Affluent,6.6,moderate,4.7,6.7,True,False,2026-03-10,2026-09-06,False,False,H0022,True,Event / seminar,Pre-retirement — Tier 3,Sheffield,ADV001,1,9.4,1,2,True,1,S004,top_15
C0012,Isabella Harris,Isabella,Harris,F,51,45-54,Pre-retirement,,838000.0,Tier 3 — Affluent,4.1,aggressive,8.7,10,False,True,2025-11-30,2026-05-29,True,False,H0075,False,Existing client,Pre-retirement — Tier 3,Southampton,ADV001,23,10.2,1,0,False,0,,
C0013,George Parker,George,Parker,M,63,55-64,Pre-retirement,2020-02-06,4843000.0,Tier 2 — HNW,0.8,moderate,3.7,5.6,True,False,2026-05-18,2026-09-15,False,True,H0011,True,Employee benefit,Pre-retirement — Tier 2,Essex,ADV001,5,7.8,4,0,True,0,,
C0014,Hannah Clarke,Hannah,Clarke,F,60,55-64,Pre-retirement,2022-06-17,2583000.0,Tier 2 — HNW,12.4,moderate,3.2,6.0,False,False,2026-04-02,2026-07-31,False,True,H0034,True,Digital / website,Pre-retirement — Tier 2,Birmingham,ADV001,16,7.4,2,1,True,1,S005,top_20
C0015,Robert Ward,Robert,Ward,M,43,30-44,Accumulation,,477000.0,Tier 3 — Affluent,21.5,growth,6.7,7.5,False,True,2026-03-05,2026-09-01,False,True,H0014,False,Professional referral,Accumulation — Tier 3,Glasgow,ADV001,22,9.0,2,0,False,1,,
C0016,Alexandra Clarke,Alexandra,Clarke,F,58,55-64,Pre-retirement,2021-05-13,221000.0,Tier 4 — Mass Affluent,3.3,growth,6.9,3.8,False,True,2025-11-22,2026-11-22,False,True,H0057,True,Event / seminar,Pre-retirement — Tier 4,Hertfordshire,ADV001,2,12.6,0,3,True,0,,
C0017,Charlie Roberts,Charlie,Roberts,M,69,65-80,Retirement,,876000.0,Tier 3 — Affluent,2.7,conservative,2.8,1.0,False,False,2025-12-20,2026-06-18,False,False,H0086,True,Cold outreach,Retirement — Tier 3,Hertfordshire,ADV001,128,0.1,1,0,False,0,S002,top_10
C0018,Samantha Wright,Samantha,Wright,F,72,65-80,Retirement,,245000.0,Tier 4 — Mass Affluent,22.9,conservative,1.7,3.2,False,False,2026-01-06,2027-01-06,False,True,H0090,True,Cold outreach,Retirement — Tier 4,Manchester,ADV001,21,2.0,1,0,True,1,,
C0019,Eleanor Martin,Eleanor,Martin,F,79,65-80,Retirement,,865000.0,Tier 3 — Affluent,11.0,moderate,3.8,3.9,False,False,2026-05-26,2026-11-22,False,False,H0069,True,Existing client,Retirement — Tier 3,Leeds,ADV001,15,3.8,1,0,True,0,S003,top_20
C0020,Elizabeth Morris,Elizabeth,Morris,F,39,30-44,Accumulation,,796000.0,Tier 3 — Affluent,5.0,growth,6.7,5.8,True,False,2026-05-11,2026-11-07,False,False,H0069,True,Family member,Accumulation — Tier 3,Buckinghamshire,ADV001,0,0.7,1,1,False,0,,
C0021,Robert Garcia,Robert,Garcia,M,40,30-44,Accumulation,,175000.0,Tier 4 — Mass Affluent,9.2,aggressive,9.0,8.5,False,False,2026-02-18,2027-02-18,False,False,H0049,True,Professional referral,Accumulation — Tier 4,Kent,ADV001,107,1.4,0,1,False,0,,
C0022,Lisa Smith,Lisa,Smith,F,48,45-54,Pre-retirement,,685000.0,Tier 3 — Affluent,15.4,growth,6.4,4.8,False,False,2026-05-27,2026-11-23,False,True,H0066,True,Employee benefit,Pre-retirement — Tier 3,Southampton,ADV001,10,10.1,2,1,True,1,,
C0023,Omar Edwards,Omar,Edwards,M,58,55-64,Pre-retirement,2022-11-28,79000.0,Tier 4 — Mass Affluent,2.0,moderate,4.4,6.1,False,True,2026-05-02,2027-05-02,False,True,H0084,True,Cold outreach,Pre-retirement — Tier 4,Leeds,ADV001,333,3.6,0,3,False,1,,
C0024,Eleanor Cooper,Eleanor,Cooper,F,79,65-80,Retirement,,1997000.0,Tier 2 — HNW,15.2,moderate,6.0,5.5,False,False,2026-04-04,2026-08-02,False,False,H0093,False,Event / seminar,Retirement — Tier 2,Hertfordshire,ADV001,38,1.9,0,1,True,1,,
C0025,Emily Carter,Emily,Carter,F,48,45-54,Pre-retirement,,105000.0,Tier 4 — Mass Affluent,15.7,moderate,5.1,4.1,True,True,2026-02-28,2027-02-28,False,True,H0050,True,Family member,Pre-retirement — Tier 4,Sheffield,ADV001,7,1.4,3,1,False,1,,
C0026,Edward Zhang,Edward,Zhang,M,52,45-54,Pre-retirement,,405000.0,Tier 3 — Affluent,6.5,growth,7.6,7.7,False,True,2026-04-17,2026-10-14,False,False,H0050,False,Cold outreach,Pre-retirement — Tier 3,Bath,ADV001,26,0.5,2,0,False,0,,
C0027,Nicholas Morgan,Nicholas,Morgan,M,52,45-54,Pre-retirement,,13403000.0,Tier 1 — Ultra HNW,14.3,moderate,3.4,4.3,False,True,2026-02-08,2026-08-28,False,False,H0004,True,Event / seminar,Pre-retirement — Tier 1,Edinburgh,ADV001,133,16.1,4,0,False,2,S001,top_5
C0028,Elizabeth Evans,Elizabeth,Evans,F,50,45-54,Pre-retirement,,2307000.0,Tier 2 — HNW,13.8,growth,5.8,8.5,True,True,2026-02-08,2026-06-08,False,False,H0045,True,Existing client,Pre-retirement — Tier 2,Berkshire,ADV001,0,9.1,2,0,False,2,,
C0029,Sanjay Taylor,Sanjay,Taylor,M,71,65-80,Retirement,,174000.0,Tier 4 — Mass Affluent,4.4,conservative,1.9,4.2,True,True,2026-02-17,2027-02-17,False,False,H0014,True,Digital / website,Retirement — Tier 4,Essex,ADV001,55,5.5,1,0,False,0,,
C0030,Lisa Martin,Lisa,Martin,F,41,30-44,Accumulation,,99000.0,Tier 4 — Mass Affluent,12.4,growth,7.4,8.3,False,True,2026-01-12,2027-01-12,False,False,H0009,True,Digital / website,Accumulation — Tier 4,London,ADV001,33,7.1,0,0,False,1,,
C0031,Maria Collins,Maria,Collins,F,35,30-44,Accumulation,,872000.0,Tier 3 — Affluent,14.8,growth,5.8,9.3,False,False,2026-02-25,2026-08-24,False,False,H0094,True,Digital / website,Accumulation — Tier 3,Liverpool,ADV001,37,14.2,4,0,False,1,,
C0032,Alexander Anderson,Alexander,Anderson,M,52,45-54,Pre-retirement,,751000.0,Tier 3 — Affluent,4.5,moderate,4.1,4.4,True,True,2026-03-07,2026-09-03,False,True,H0025,True,Family member,Pre-retirement — Tier 3,Bath,ADV001,52,5.3,2,1,False,1,S004,top_15
C0033,Rachel Edwards,Rachel,Edwards,F,62,55-64,Pre-retirement,2022-04-24,263000.0,Tier 3 — Affluent,4.0,conservative,1.7,2.8,False,True,2026-03-17,2026-09-13,False,False,H0040,True,Existing client,Pre-retirement — Tier 3,Sheffield,ADV001,5,2.7,5,1,False,0,,
C0034,Harper King,Harper,King,F,41,30-44,Accumulation,,793000.0,Tier 3 — Affluent,16.4,moderate,3.6,2.1,True,True,2026-05-28,2026-11-24,False,False,H0036,True,Existing client,Accumulation — Tier 3,Hertfordshire,ADV001,9,2.4,2,1,False,1,,
C0035,Fatima White,Fatima,White,F,62,55-64,Pre-retirement,2019-12-12,1049000.0,Tier 2 — HNW,4.4,moderate,3.8,7.3,False,True,2026-05-18,2026-09-15,False,True,H0081,True,Professional referral,Pre-retirement — Tier 2,Edinburgh,ADV001,1,4.7,1,1,True,0,,
C0036,Amelia Hill,Amelia,Hill,F,42,30-44,Accumulation,,697000.0,Tier 3 — Affluent,21.0,moderate,3.9,7.0,False,True,2026-04-23,2026-10-20,False,False,H0013,False,Professional referral,Accumulation — Tier 3,Berkshire,ADV001,5,3.6,4,2,False,1,,
C0037,Thomas Johnson,Thomas,Johnson,M,32,30-44,Accumulation,,367000.0,Tier 3 — Affluent,5.4,growth,5.9,3.7,True,False,2026-04-26,2026-10-23,False,True,H0034,False,Family member,Accumulation — Tier 3,Essex,ADV001,38,4.7,2,0,False,0,,
C0038,Christopher Wood,Christopher,Wood,M,57,55-64,Pre-retirement,2021-09-07,215000.0,Tier 4 — Mass Affluent,0.7,moderate,4.7,6.0,True,True,2026-03-30,2027-03-30,False,False,H0065,True,Event / seminar,Pre-retirement — Tier 4,Birmingham,ADV001,255,6.3,0,0,False,0,,
C0039,Hiroshi Garcia,Hiroshi,Garcia,M,64,55-64,Pre-retirement,2016-05-12,318000.0,Tier 3 — Affluent,22.0,moderate,6.0,7.2,False,True,2026-05-22,2026-11-18,False,False,H0084,True,Digital / website,Pre-retirement — Tier 3,Bristol,ADV001,9,1.2,2,0,False,3,,
C0040,Laura Collins,Laura,Collins,F,80,65-80,Retirement,,500000.0,Tier 3 — Affluent,22.4,conservative,1.6,3.0,False,False,2026-04-15,2026-10-12,False,True,H0033,True,Cold outreach,Retirement — Tier 3,Cambridge,ADV001,19,10.2,1,0,False,2,,
C0041,Stuart Mitchell,Stuart,Mitchell,M,48,45-54,Pre-retirement,,717000.0,Tier 3 — Affluent,4.2,moderate,3.4,3.1,True,False,2025-09-01,2026-02-28,True,True,H0081,True,Professional referral,Pre-retirement — Tier 3,Bristol,ADV001,9,0.4,2,1,True,0,,
C0042,Rachel Jones,Rachel,Jones,F,56,55-64,Pre-retirement,2023-02-18,4366000.0,Tier 2 — HNW,1.9,moderate,5.8,2.4,True,False,2026-05-28,2026-09-25,False,False,H0032,True,Professional referral,Pre-retirement — Tier 2,Cambridge,ADV001,209,14.7,0,1,False,1,,
C0043,Carlos Reid,Carlos,Reid,M,57,55-64,Pre-retirement,2021-12-06,105000.0,Tier 4 — Mass Affluent,14.5,growth,7.5,6.5,True,True,2025-09-13,2026-09-13,False,False,H0045,True,Cold outreach,Pre-retirement — Tier 4,Hertfordshire,ADV001,5,7.2,5,1,True,1,,
C0044,Margaret Turner,Margaret,Turner,F,72,65-80,Retirement,,425000.0,Tier 3 — Affluent,7.8,moderate,5.4,5.7,True,True,2026-04-24,2026-10-21,False,False,H0017,True,Employee benefit,Retirement — Tier 3,Southampton,ADV001,23,11.5,2,0,True,2,,
C0045,Ming Martinez,Ming,Martinez,M,44,30-44,Accumulation,,792000.0,Tier 3 — Affluent,5.3,moderate,5.9,4.3,False,False,2026-04-18,2026-10-15,False,False,H0069,True,Digital / website,Accumulation — Tier 3,Berkshire,ADV001,13,4.1,1,2,True,1,,
C0046,Isabel Brown,Isabel,Brown,F,58,55-64,Pre-retirement,2018-10-02,941000.0,Tier 3 — Affluent,20.4,moderate,4.9,2.1,False,True,2026-05-23,2026-11-19,False,True,H0008,True,Digital / website,Pre-retirement — Tier 3,Bath,ADV001,17,4.2,4,1,True,2,,
C0047,Theo Ferguson,Theo,Ferguson,M,47,45-54,Pre-retirement,,1316000.0,Tier 2 — HNW,18.2,moderate,3.4,7.0,True,True,2026-05-28,2026-09-25,False,True,H0060,False,Family member,Pre-retirement — Tier 2,Hertfordshire,ADV001,12,9.7,6,0,True,3,,
C0048,Harry Martinez,Harry,Martinez,M,74,65-80,Retirement,,568000.0,Tier 3 — Affluent,6.2,conservative,2.0,1.4,True,True,2026-04-03,2026-09-30,False,False,H0085,True,Existing client,Retirement — Tier 3,Essex,ADV001,2,9.7,0,1,False,1,,
C0049,Carlos Stewart,Carlos,Stewart,M,74,65-80,Retirement,,96000.0,Tier 4 — Mass Affluent,10.9,conservative,2.5,1,False,True,2026-06-04,2027-06-04,False,True,H0081,True,Digital / website,Retirement — Tier 4,Cheltenham,ADV001,5,0.7,2,0,True,3,,
C0050,Mark Ali,Mark,Ali,M,56,55-64,Pre-retirement,2023-02-16,115000.0,Tier 4 — Mass Affluent,3.0,moderate,4.1,6.8,False,True,2026-02-15,2027-02-15,False,False,H0038,False,Digital / website,Pre-retirement — Tier 4,Leeds,ADV001,38,13.0,0,2,False,0,,
C0051,Charlotte Jackson,Charlotte,Jackson,F,58,55-64,Pre-retirement,2021-05-14,195000.0,Tier 4 — Mass Affluent,24.4,growth,7.4,5.7,True,True,2026-01-21,2027-01-21,False,False,H0082,False,Existing client,Pre-retirement — Tier 4,Buckinghamshire,ADV001,4,1.2,0,2,True,2,S002,top_10
C0052,Benjamin Taylor,Benjamin,Taylor,M,63,55-64,Pre-retirement,2018-12-15,708000.0,Tier 3 — Affluent,18.4,moderate,4.9,5.7,True,True,2026-03-25,2026-09-21,False,True,H0031,False,Professional referral,Pre-retirement — Tier 3,Cambridge,ADV001,0,6.8,2,0,True,3,,
C0053,Amanda Tanaka,Amanda,Tanaka,F,57,55-64,Pre-retirement,2019-12-26,181000.0,Tier 4 — Mass Affluent,18.1,growth,7.1,5.2,True,True,2026-02-06,2027-02-06,False,False,H0048,True,Family member,Pre-retirement — Tier 4,Oxford,ADV001,38,1.9,3,0,True,1,,
C0054,Andrew Kelly,Andrew,Kelly,M,31,30-44,Accumulation,,215000.0,Tier 4 — Mass Affluent,0.8,growth,5.2,9.3,False,False,2025-12-08,2026-12-08,False,False,H0071,True,Professional referral,Accumulation — Tier 4,Liverpool,ADV001,188,0.8,0,0,False,0,,
C0055,Li Jackson,Li,Jackson,F,64,55-64,Pre-retirement,2019-09-11,26460000.0,Tier 1 — Ultra HNW,0.7,conservative,2.3,1,True,True,2026-05-12,2026-08-10,False,True,H0034,True,Family member,Pre-retirement — Tier 1,Bath,ADV001,8,11.3,7,0,False,1,S005,top_20
C0056,Vikram Thomas,Vikram,Thomas,M,50,45-54,Pre-retirement,,332000.0,Tier 3 — Affluent,6.7,moderate,5.6,6.2,False,True,2026-02-26,2026-08-25,False,False,H0052,True,Existing client,Pre-retirement — Tier 3,Surrey,ADV001,88,1.6,0,0,False,0,,
C0057,Charlotte Johnson,Charlotte,Johnson,F,47,45-54,Pre-retirement,,2100000.0,Tier 2 — HNW,16.9,moderate,4.6,7.5,True,False,2026-04-07,2026-08-05,False,False,H0084,False,Employee benefit,Pre-retirement — Tier 2,Sheffield,ADV001,3,1.0,3,0,False,1,,
C0058,Susan Hughes,Susan,Hughes,F,52,45-54,Pre-retirement,,797000.0,Tier 3 — Affluent,3.6,moderate,5.1,7.2,False,True,2026-02-14,2026-08-13,False,False,H0095,True,Professional referral,Pre-retirement — Tier 3,Hertfordshire,ADV001,55,0.3,1,0,False,0,,
C0059,Mark Patel,Mark,Patel,M,61,55-64,Pre-retirement,2022-10-17,749000.0,Tier 3 — Affluent,22.6,moderate,4.8,7.3,True,True,2025-12-27,2026-06-25,False,False,H0014,True,Employee benefit,Pre-retirement — Tier 3,Oxford,ADV001,7,0.8,3,0,False,3,,
C0060,Sanjay Kelly,Sanjay,Kelly,M,61,55-64,Pre-retirement,2023-04-24,245000.0,Tier 4 — Mass Affluent,18.0,moderate,5.8,1.7,False,True,2026-02-11,2027-02-11,False,False,H0044,True,Professional referral,Pre-retirement — Tier 4,Edinburgh,ADV001,40,2.0,0,0,False,1,,
C0061,Charlotte Jackson,Charlotte,Jackson,F,55,55-64,Pre-retirement,2022-04-19,3122000.0,Tier 2 — HNW,4.3,conservative,1.6,1.1,False,True,2025-12-26,2026-04-25,True,True,H0080,True,Existing client,Pre-retirement — Tier 2,Glasgow,ADV001,36,7.8,3,1,True,0,,
C0062,Deepa Yamamoto,Deepa,Yamamoto,F,62,55-64,Pre-retirement,2021-02-24,412000.0,Tier 3 — Affluent,3.7,conservative,2.2,2.9,False,True,2026-02-23,2026-08-22,False,True,H0027,True,Professional referral,Pre-retirement — Tier 3,Edinburgh,ADV001,6,5.4,1,0,False,0,,
C0063,Addison Turner,Addison,Turner,F,37,30-44,Accumulation,,85000.0,Tier 4 — Mass Affluent,5.5,growth,7.4,8.5,True,False,2026-04-09,2027-04-09,False,True,H0010,False,Employee benefit,Accumulation — Tier 4,Bath,ADV001,8,14.1,2,0,False,0,,
C0064,Aisha Tanaka,Aisha,Tanaka,F,51,45-54,Pre-retirement,,13119000.0,Tier 1 — Ultra HNW,18.1,aggressive,7.3,10,False,True,2026-04-11,2026-07-10,False,False,H0051,False,Family member,Pre-retirement — Tier 1,Southampton,ADV001,8,0.8,4,0,True,3,,
C0065,Michael Harris,Michael,Harris,M,40,30-44,Accumulation,,3040000.0,Tier 2 — HNW,13.3,growth,7.4,8.4,True,True,2026-04-02,2026-07-31,False,False,H0084,True,Cold outreach,Accumulation — Tier 2,Berkshire,ADV001,1,1.9,5,1,False,2,,
C0066,Margaret Anderson,Margaret,Anderson,F,64,55-64,Pre-retirement,2023-10-24,990000.0,Tier 3 — Affluent,6.9,moderate,4.4,4.1,False,False,2026-03-23,2026-09-19,False,True,H0060,True,Existing client,Pre-retirement — Tier 3,Oxford,ADV001,27,0.1,4,1,True,1,,
C0067,Charlotte Lewis,Charlotte,Lewis,F,63,55-64,Pre-retirement,2024-03-03,685000.0,Tier 3 — Affluent,20.3,conservative,2.1,4.0,True,False,2025-09-08,2026-03-07,True,True,H0014,False,Cold outreach,Pre-retirement — Tier 3,Southampton,ADV001,17,13.4,6,1,True,1,,
C0068,Patrick Cooper,Patrick,Cooper,M,41,30-44,Accumulation,,580000.0,Tier 3 — Affluent,2.8,moderate,4.2,3.2,False,False,2025-10-19,2026-04-17,True,False,H0072,True,Digital / website,Accumulation — Tier 3,Glasgow,ADV001,13,0.3,2,0,False,0,,
